index,plate,state,license_type,tow_eligible_date,total_fines,amount_paid,amount_due,violations,fines_in_judgement,total_fines_post_tow_eligible,amount_paid_post_tow_eligible,amount_due_post_tow_eligible,violations_post_tow_eligible,n_plates
5619286,KUH1448,NY,PAS,2024-06-28,671.78,100.0,571.78,9,571.78,75.0,0.0,75.0,1.0,139
1612184,DUC266,MI,PAS,2024-04-06,1448.67,680.76,767.91,19,767.91,0.0,0.0,0.0,0.0,82
7088778,S16UYS,NJ,PAS,2024-12-04,772.11,0.0,772.11,10,772.11,0.0,0.0,0.0,0.0,122
4396339,JLF2028,NY,PAS,2024-10-24,3821.68,3045.93,775.75,59,775.75,152.03,0.0,152.03,2.0,149
4874458,KEK397,VT,PAS,2024-03-30,3242.4,1230.25,2012.15,43,2012.15,1596.86,0.0,1596.86,21.0,99
19372,10DUBI,FL,PAS,2024-01-23,2469.73,0.0,2469.73,30,2469.73,488.33,0.0,488.33,6.0,68
7091108,S21RVG,NJ,PAS,2024-02-06,776.23,31.159999999999997,745.0699999999999,10,695.0699999999999,357.31,0.0,357.31,5.0,130
1033468,B88KHP,NJ,PAS,2024-07-03,1258.45,75.0,1183.45,16,1183.45,695.51,0.0,695.51,9.0,91
2669422,GTC6045,NY,PAS,2024-10-22,2522.97,1902.37,620.6,35,620.6,152.68,0.0,152.68,2.0,75
7360396,TGC1900,VA,PAS,2024-12-03,3954.99,598.0,3356.99,56,2956.99,1350.55,0.0,1350.55,22.0,97
7604962,WZU758,SC,PAS,2024-01-22,5852.51,1008.06,4844.45,73,4844.45,3094.38,241.3,2853.08,39.0,77
332107,46ECIH,FL,PAS,2024-10-10,1843.95,0.0,1843.95,24,1843.95,985.4,0.0,985.4,13.0,175
5420876,KPT7277,NY,PAS,2024-04-05,710.81,269.40999999999997,441.4,9,441.4,0.0,0.0,0.0,0.0,106
1269570,C40NKA,NJ,PAS,2024-11-27,398.99,0.0,398.99,5,398.99,0.0,0.0,0.0,0.0,104
